Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
IN;Delhi;Najafgarh, Delhi - DPCC;;O3;data.gov.in;µg/m³;3.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Burari Crossing, Delhi - IMD;;CO;data.gov.in;µg/m³;105000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;DTU, Delhi - CPCB;;O3;data.gov.in;µg/m³;4.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Pusa, Delhi - IMD;;PM2.5;data.gov.in;µg/m³;152.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sri Aurobindo Marg, Delhi - DPCC;;PM10;data.gov.in;µg/m³;185.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Anand Vihar, Delhi - DPCC;28.646835, 77.316032;SO2;caaqm;µg/m³;2.4;2021-09-20T13:15:00+05:30;India
IN;Delhi;East Arjun Nagar, Delhi - CPCB;28.6556017, 77.2859318;NO2;caaqm;µg/m³;95.95;2020-02-10T08:30:00+05:30;India
IN;Delhi;ITO, Delhi - CPCB;28.6316945, 77.2494387;NO2;caaqm;µg/m³;22.17;2020-01-20T12:45:00+05:30;India
IN;Delhi;Okhla Phase-2, Delhi - DPCC;28.5366411, 77.2664587;PM2.5;caaqm;µg/m³;74.0;2018-05-13T15:30:00+05:30;India
IN;Delhi;Ashok Vihar, Delhi - DPCC;28.6957202, 77.1812947;NO2;caaqm;µg/m³;36.9;2018-05-12T10:00:00+05:30;India
IN;Delhi;Dwarka-Sector 8, Delhi - DPCC;28.5206826, 76.8023871;O3;caaqm;µg/m³;187.9;2018-05-12T10:30:00+05:30;India
IN;Delhi;Shadipur, Delhi - CPCB;28.6517, 77.1581;SO2;CPCB;µg/m³;13.43;2018-02-22T08:15:00+05:30;India
IN;Delhi;IGI Airport Terminal-3, Delhi - IMD;;PM2.5;CPCB;µg/m³;289.86;2018-02-22T04:45:00+05:30;India
IN;Delhi;Mandir Marg, Delhi - DPCC;28.6341, 77.2005;SO2;CPCB;µg/m³;14.47;2018-02-22T02:45:00+05:30;India
IN;Delhi;Civil Lines;28.6787, 77.2262;PM2.5;CPCB;µg/m³;48.99;2015-07-10T13:45:00+05:30;India
IN;Delhi;Narela, Delhi - DPCC;;O3;data.gov.in;µg/m³;22.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Patparganj, Delhi - DPCC;;O3;data.gov.in;µg/m³;12.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Nehru Nagar, Delhi - DPCC;;NO2;data.gov.in;µg/m³;94.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;CRRI Mathura Road, Delhi - IMD;;CO;data.gov.in;µg/m³;94000.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;DTU, Delhi - CPCB;;PM10;data.gov.in;µg/m³;235.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Shadipur, Delhi - CPCB;;PM2.5;data.gov.in;µg/m³;227.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Pusa, New Delhi - IMD;28.610304, 77.0996943;PM10;caaqm;µg/m³;50.37;2018-05-14T07:30:00+05:30;India
IN;Delhi;Punjabi Bagh, Delhi - DPCC;28.6670856, 77.1301247;PM10;caaqm;µg/m³;431.0;2018-05-13T17:00:00+05:30;India
IN;Delhi;Rohini, Delhi - DPCC;28.7407056, 77.0577492;PM2.5;caaqm;µg/m³;110.0;2018-05-12T12:00:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;28.7258373, 77.1605631;SO2;caaqm;µg/m³;34.4;2018-05-12T10:00:00+05:30;India
IN;Delhi;Ashok Vihar, Delhi - DPCC;28.6957202, 77.1812947;PM2.5;caaqm;µg/m³;139.0;2018-05-12T11:30:00+05:30;India
IN;Delhi;Sonia Vihar, Delhi - DPCC;28.67795, 77.29868;CO;caaqm;µg/m³;0.6;2018-05-11T17:15:00+05:30;India
IN;Delhi;R K Puram, New Delhi - DPCC;28.5646102, 77.1670103;NO2;caaqm;µg/m³;81.4;2018-05-07T01:00:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;28.6125027, 77.2351994;SO2;caaqm;µg/m³;0.1;2018-05-12T10:00:00+05:30;India
IN;Delhi;Shadipur, Delhi - CPCB;28.6517, 77.1581;O3;CPCB;µg/m³;3.17;2018-02-22T08:15:00+05:30;India
IN;Delhi;R K Puram, Delhi - DPCC;28.5648, 77.1744;PM10;CPCB;µg/m³;339.0;2018-02-22T02:45:00+05:30;India
IN;Delhi;Sirifort, Delhi - CPCB;28.5504249, 77.2159377;PM10;caaqm;µg/m³;979.0;2022-10-31T07:15:00+05:30;India
IN;Delhi;CRRI Mathura Road, Delhi - IMD;28.5512005, 77.2735737;O3;caaqm;µg/m³;28.31;2022-10-31T06:45:00+05:30;India
IN;Delhi;Major Dhyan Chand National Stadium, Delhi - DPCC;28.611281, 77.237738;O3;caaqm;µg/m³;1.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Rohini, Delhi - DPCC;28.732528, 77.11992;PM2.5;caaqm;µg/m³;238.0;2022-10-31T06:15:00+05:30;India
